,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
79,1.0,1.0,86892.9125491974,440.0,24.66,5403.0,0.15462133559705715,450.81864661654146,2600.0,5444.395987959579,1.5037387486278815,0.9675646450399625,0.008792358803986709,4.369123805188894,11.7733,0.0
80,1.0,1.0,1.5089556999999998,11.661026827573922,16.7,327.35,0.0,450.81864661654146,1898.0,5950.0,1.11,0.95,-0.3,4.25,13.457,0.0
81,1.0,1.0,13.2406,0.1055,10.87,874.0,0.53,450.81864661654146,600.0,5075.0,0.79,0.89,0.26,4.65,14.6645,0.0
82,1.0,1.0,2.9943299999999997,0.0436,16.03,740.51,0.0,450.81864661654146,1657.0,6440.0,1.37,1.27,-0.03,4.22,12.841,0.0
83,1.0,1.0,2.828042,0.04016,16.14,291.438,0.07,450.81864661654146,1442.0,5675.0,1.12,1.08,0.16,4.38,15.3453,0.0
84,1.0,1.0,4.03519,0.051,9.92,415.704,0.0,450.81864661654146,1700.0,5945.0,1.01,1.09,0.01,4.46,14.9147,0.0
85,1.0,1.0,1.51214,0.027000000000000003,12.22,2415.4,0.0,450.81864661654146,1952.0,6035.0,1.21,1.13,0.05,4.35,15.8116,0.0
86,1.0,1.0,5.35227,0.0618,13.11,170.032,0.33,450.81864661654146,1055.3594080338266,5650.0,1.19,1.1,0.19,4.36,15.6507,0.0
87,1.0,1.0,3.7681,0.0461,11.43,772.29,0.0,450.81864661654146,1626.0,5740.0,1.59,1.04,0.0,4.4,15.4368,0.0
88,1.0,1.0,1.9000693,0.0295,14.68,1102.82,0.08,450.81864661654146,1550.0,5440.0,1.0,0.95,-0.1,4.4,14.8009,0.0
89,1.0,1.0,3.89713,0.0518,14.46,352.78,0.047,450.81864661654146,2000.0,6090.0,1.65,1.21,-0.02,4.07,13.7831,0.0
90,2.0,1.0,1.7429935,0.02798,16.432000000000002,1102.82,0.0143,450.81864661654146,1055.3594080338266,5625.0,0.91,0.96,0.008792358803986709,4.369123805188894,12.2489,0.0
91,1.0,2.0,9.24285,0.09,4.156063610610353,1366.6689999999999,0.59,450.81864661654146,1055.3594080338266,5444.395987959579,1.5037387486278815,1.14,0.008792358803986709,4.369123805188894,14.4686,0.0
92,1.0,2.0,1675.0,2.9,4.156063610610353,5403.11,0.6,450.81864661654146,1055.3594080338266,5444.395987959579,1.5037387486278815,1.14,0.008792358803986709,4.369123805188894,14.4686,0.0
93,1.0,1.0,2.72474,0.0417,14.572000000000001,718.2958,0.0,450.81864661654146,1055.3594080338266,6200.0,1.95,1.29,0.0,3.7,15.8558,0.0
94,1.0,1.0,9.755980000000001,0.092,4.88,12.2,0.077,450.81864661654146,885.0,5939.0,1.14,1.1,0.17,4.36,13.7305,0.0
95,1.0,1.0,3.6313,0.048,11.77,889.9,0.16,450.81864661654146,1660.0,5900.0,1.61,1.14,0.05,4.3,15.0681,0.0
96,1.0,2.0,5.1134,0.055999999999999994,3.7,5.7,0.0,450.81864661654146,1070.0,4950.0,0.86,0.91,0.3,4.55,15.1801,0.0
97,1.0,2.0,11.759,0.098,5.0,28.0,0.0,450.81864661654146,850.0,4950.0,0.86,0.91,0.3,4.55,15.1801,0.0
98,1.0,1.0,4.86069,0.0578,12.11,85.81,0.0,450.81864661654146,1330.0,6040.0,1.19,1.09,-0.01,4.31,14.710999999999999,0.0
99,1.0,1.0,4.20474,0.0526,14.12,165.26,0.0,450.81864661654146,1600.0,5590.0,1.79,1.09,0.01,3.99,15.4682,0.0
100,1.0,1.0,3.5753199999999996,0.0476,11.287,3302.11,0.065,450.81864661654146,1500.0,5900.0,1.08,1.05,-0.1,4.4,15.3902,0.0
101,1.0,1.0,5.2085099999999995,0.0603,10.705,153.82972,0.047,450.81864661654146,1055.3594080338266,5150.0,1.78,1.01,0.15,3.6,13.4119,0.0
